Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
793--Ships; Boats And Floatng Structures,29149367,36696200,52635344,83482724,102724483,139392093,111034225,98034970,70525917,80723861,90266315,86169535,111742843,121562890,172051476
792--Aircraft & Associated Equipment,54099953,61825022,79533041,84104856,132866352,191320707,191057460,220965304,277659077,383534391,404220019,458373122,509591510,486516696,469351655
791--Railway Vehicles & Associated Equipment,17691571,31293476,82555985,120038502,186148945,159939576,190038894,88951744,99776136,264075136,300226261,282417911,417973374,655958701,306271316
786--Trailers & Semi-Trailers,173509544,292903907,409980687,740868448,905087258,820303196,778768512,529135350,809501717,1193732876,1039006017,1030741671,1348599613,1569716481,1435509696
785--Motorcycles And Cycles; Motorized & Not Motorized,850753423,1033795304,1301880565,1258234748,1251217208,1308677350,1648181700,1178535168,1430752232,1409695679,1669166000,1496277784,1618333331,1870717333,1709978023
784--Parts And Accessories Of Motor Vehicles,770548539,1016200778,1465810163,1992988865,2711893569,3592415066,3677333768,3107194628,4566058746,5597812457,6414679939,6998200358,8367817096,9310392796,9094212735
783--Road Motor Vehicles,0,0,60000,36000,426523,4815324,11474124,4067362,3530313,2116242,93668,5056487,17493869,5062014,8744138
782--Special Purpose Motor Vehicles,774279,1550055,1168551,2850405,4540247,12135174,23710594,3994483,1887463,4708127,19209314,12424195,6219191,2548174,3973275
781--All Motor Vehicles,14094914,32186432,81552023,175998720,212776917,273818726,163134810,97742209,127704000,67731142,92948181,91645239,160700683,311399290,1277626504
778--Electrical Machinery And Apparatus,2705726011,3134998633,3907523670,4417573193,5135511021,6143977898,6692993585,6211446360,8775791167,10542201840,9734737315,10252670744,11231894907,12085189385,12400298292
776--Thermionic; Cold Cathode and Photocathode Valves,780568526,898450249,1383297907,1822004135,2211651577,2271829595,2081033794,1986391343,3856844109,6006816345,4731898483,4357894901,4789611336,5140626091,5325619736
775--Household Type Electric & Nonelectric Equipment,3235543843,3770571706,4547356703,5276426523,5852022468,6106859500,6712167172,6213266212,7542473088,7952894244,8519671719,9324416899,9783200247,10466830221,9859993518
774--Electro-Diagnostic Apparatus,87934996,105913882,113439850,140818806,220190217,333798762,465144179,489187996,634094832,758812871,878670926,931548924,972432467,1098456427,1166554229
773--Equipment For Distributing Electricity,841621673,937375376,1272328535,1535989173,2085593343,2492996120,2563889541,1980828928,2803221643,3060245508,3430589117,3822337238,4232866870,4495656782,4269347663
772--Electrical Apparatus For Switching Or Protecting,1131158881,1303875800,1757697308,2272265205,2957337777,3189578533,3400952349,2705216187,3718241468,4132503448,4726061125,5108330899,5494902369,5903482779,5837005741
771--Electric Power Machinery; And Parts,1473758624,1735914751,2299246679,2647695501,3195525137,3429307280,3782712450,3364760980,4370559229,4541869217,4685746974,5147449417,5587043691,5765197030,5463985457
764--Telecommunications Equipment,6418221622,7907715141,12098910292,17542906543,21773747914,29617840047,32043021257,30699801667,39306644332,45394170940,57892602520,63296934790,68797324207,72050588354,69982216223
763--Sound Recorders and TV Recorders,4476200754,5335353157,7609704551,9375477903,10063873957,4692190262,2364050855,2774764862,2393219828,1932808929,1717080015,1599873583,1400652667,1343476969,1366625974
762--Radiobroadcast Receivers,2525519043,2242999192,2397954824,2435353165,2696327651,2374179550,2145724786,1709441245,2160086656,2246141017,2575727048,2160213260,1728296647,1548493566,1193790647
761--Television Receivers,841140802,1448760419,2301463126,4871075372,7563425544,15056081164,17135808532,14512380596,15062973179,11602733779,10751528966,10387295598,11596233334,11147831422,10028222580
