Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
641--Paper And Paperboard,331255567,360814972,411407402,410505958,381026412,485346426,505399837,479850639,527183051,718943954,664213156,700717903,720760386,660395018,624757547
571--Polymers Of Ethylene,116071692,114388307,242858166,357571997,396237809,572934263,715021198,1095475352,674606152,566306710,479832977,541292652,521468827,670673789,618604036
713--Internal Combustion Piston Engines,83703032,115579469,159687799,245210502,315110436,461406624,703262159,485946478,722351020,1117548103,957241647,997621325,956018683,823202949,615175085
759--Parts For Office Machines & ADP Machines,442951339,527197024,601739084,1034642856,1311164582,1097322065,968123421,970751271,985546177,640867748,648866760,603250432,540990488,542766814,593213856
012--Other Meat & Edible Offal,67770559,131418435,56679794,189391430,355344333,716734275,978908690,717886505,303702165,806518565,986900205,1038660863,697547792,334802905,580607707
699--Manufactures Of Base Metal,88215660,115647176,182729088,231871754,322594420,393877639,471837952,402933435,445888178,484405260,544120525,560482162,668020859,624023466,557958646
263--Cotton Textile Fibers,150801347,767387414,1434116221,1409348758,2082049811,1482659775,1622445097,866368197,2214315784,2625377410,3429556996,2203832378,1119775317,860318751,553770454
882--Photographic And Cinematographic Supplies,84169559,141502550,168839059,170897792,144812649,152557555,220242507,340531744,408823335,456423154,515565803,601846626,603431511,605470257,533015199
741--Heating & Cooling Equipment,414555918,454565011,502622752,468988264,454423244,587893930,681010789,556687104,603576632,851913013,657500733,603023006,630200075,586502145,529604277
597--Additives For Mineral Oils,55458604,69348973,95733833,132049947,151905551,179880272,275855573,272054956,407191485,417894122,378037374,487962929,492968333,443772964,469832607
335--Residual Petroleum Products,23811418,61608862,48937884,20900606,46953290,64926449,97844069,205204801,431935727,674199536,555775054,872131494,543715237,482879895,446639261
514--Nitrogen-Function Compounds,127619761,159332825,227067871,199061445,253867727,308015424,300077851,395528415,706977137,705023156,700059606,503047462,538948716,446633771,438133743
893--Articles Of Plastics,74274477,98103750,128220634,113240255,157708737,174696003,222508267,208500003,266972447,296549194,303742618,319276699,333076716,385443341,435601398
871--Optical Instruments And Apparatus,43977895,49140591,51143314,72208652,73179827,111519037,113682883,119732119,156768682,203198240,221664139,247173552,283478989,360181890,396322378
533--Pigments; Paints; Varnishes And Related Materials,95527858,101241871,101025018,138246665,204530966,244476786,296641000,297919764,722299466,1072124623,546131970,442757558,432131700,361623730,390837091
773--Equipment For Distributing Electricity,81260499,73211734,96551089,138461256,167323244,203184135,213788568,200290180,271514054,325100799,340567183,397304493,418601626,384344705,388841444
898--Musical Instruments And Accessories,246062065,212713512,268304036,357306889,464434408,284365632,338971005,242172659,280787961,246833996,272665024,329050652,380805730,425269119,380985658
057--Fruit and Nuts; Fresh Or Dried,46679874,46663123,69607125,134685016,129516440,108095616,144267019,211346413,241902197,334845442,537084551,503996932,320576348,347903607,379597510
333--Crude Oil,244610,466402,27345564,11581602,0,0,0,0,0,0,0,26784773,20733844,15353789,374154226
884--Optical Goods,43415984,36001815,97335534,212387894,312951461,318795752,259513179,371773833,370664271,231407281,358547161,323637831,318036441,357047216,373142186
