Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
037--Fish; Crustaceans and Molluscs,24396614,11912392,16572253,12413263,10502945,16617524,8905065,10630917,13160585,15917302,16573423,24662158,34660719,36332451,24071966
696--Cutlery,55542839,5358447,4842558,12569166,8185716,6624302,14724007,22013686,35824607,41096748,7050104,6023077,7409448,8422895,23976399
711--Steam Or Other Vapor Generating Boilers,26893503,106783425,26457889,19971291,30536664,26238842,20576843,28077940,36164831,31317523,34629526,30350654,17221949,21552826,23193016
654--Woven Fabrics Of Textile Material; Not Cotton Or,4947894,7846563,13520251,12438431,11509285,15800129,12740441,18950360,22236950,28248781,27134603,34369356,22461653,25379152,21707707
073--Chocolate & Other Food Preparations Containing Co,7143781,10283529,7277000,10392500,13069293,13813516,7783928,10853358,14447425,29914032,9274836,17278881,22796104,24212587,21659988
845--Articles Of Apparel Of Textile Fabrics,13069705,4539022,8798357,13458671,8266199,12067334,11259236,13154722,10081902,12744262,14530873,17709494,18836410,21703785,19587013
658--Made-Up Articles Of Textile Materials,3149530,8650644,7782332,14837776,14380567,15850496,16318764,17513241,19045336,23032155,16205123,16531159,20455647,22743241,18061795
635--Wood Manufactures,7433963,10023835,12117093,8089687,12005947,15205725,20541282,26490608,14998981,25590660,21282181,19967662,18835217,16094163,17449257
659--Floor Coverings,3125785,3426507,4169822,5322128,9625624,14507195,24457335,13230620,20688253,21184185,22051661,23105287,19899472,17294596,17149116
693--Wire Products & Fencng Grills,6479434,11614891,14789320,17055465,32062228,24995324,48567009,22265994,30928772,41815438,65475581,25812124,17634171,22722614,16680266
071--Coffee And Coffee Substitutes,368858,1105584,782978,3334584,9282601,11685273,13390860,8896272,10545334,13809868,23813783,19794604,13229683,12601311,16557591
111--Nonalcoholic Beverages,203341,745569,452874,283730,551198,937774,3056665,2646995,2019715,2121941,6986937,15689942,24375491,25944005,16539843
655--Knitted Or Crocheted Fabrics,5274664,4380023,4780009,7630870,7146943,10206250,10993926,8363726,10954959,11750946,12457534,13192260,14962742,17160088,16115402
885--Watches And Clocks,5189055,2818810,2848555,3508174,3299507,5133571,4157913,3697938,4325755,5708682,7353413,6961793,8709723,21262955,15513738
873--Meters And Counters,10398501,9050592,13004851,13491281,14825859,14298938,22055511,15984996,23420213,33459840,27580141,21252710,26784870,21986608,15242864
895--Office And Stationery Supplies,13420113,14528206,17938705,22195150,18955929,18980374,24199336,16040309,18155298,15354298,11501963,11389834,12640403,9670758,14711784
785--Motorcycles And Cycles; Motorized & Not Motorized,4556208,4808725,14180184,6690371,18351992,13009035,15015439,11609544,21240686,27561649,26497794,28797453,22726616,15722336,14665384
697--Household Equipment Of Base Metal,7908779,7610936,14131553,9754220,9074994,11664404,16672426,13869209,13335885,12157441,12533115,9698396,8719014,18753220,13989382
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,168209,152330,101230,105729,769875,617113,677905,5127729,694826,1594797,2528613,8319899,12268783,7275893,12887681
848--Apparel & Accessories Except Textile; Headgear,7456638,6494865,8996643,6825656,5525255,10453170,12616061,7301153,10448580,12138616,17323585,17668017,19264876,14650217,12830367
842--Women/Girls Coats; Not Knit,794658,887773,3694774,3735789,3373287,3310319,4572125,2863797,3900139,5686856,9442599,10285066,11093002,13749417,12651128
422--Fixed Vegetable Fats & Oils; Crude,6365297,5877261,3718560,1834667,2697760,2349317,6593211,5269317,9743221,20154972,27034499,20120578,13395842,18674187,12256527
662--Clay And Refractory Construction Materials,15674875,10274925,22633968,20364279,17393378,21460171,22527746,10678029,20411916,29181227,21334642,10700943,17847260,15532224,11956489
844--Women's Or Girls' Coats; Capes; Knit,1146159,2585441,4473709,5238494,3364883,4082407,4249160,3741665,4267098,4322385,4469873,5697865,8128998,12282003,11826115
091--Margarine And Shortening,913849,587340,548905,600001,260168,2130238,1743881,4027240,21012337,10771071,10287275,10624264,14630888,10105853,11566127
762--Radiobroadcast Receivers,15326884,17653350,15497273,16316423,28086576,37472862,41945127,34264635,35744043,30395675,27163999,29274282,32734968,15258680,11412974
583--Monofilaments Of Plastics,2119102,3666991,6627091,6280253,6176474,3352670,5696868,6669351,11787181,7563350,8837167,10491606,10944845,10618167,10152838
672--Iron Or Steel & Semifinish Products,2653669,18092176,12268854,7550617,17130515,20868443,46485229,30363920,16915744,29047983,47426621,33138819,36954175,35623949,9965017
846--Clothing Accessories,2910983,2762509,1670881,9362732,4229788,2693604,2543230,3113118,2304722,4577073,9215352,4588728,6129863,8815251,9697818
678--Iron And Steel Wire,2682452,3854412,6942037,9132287,14596817,9843567,7186837,8680607,11980277,13149576,9977377,8042576,8236343,7374017,9594282
673--Iron & Nonalloy Steel Flat-Roll Products,1563452,241260954,11222653,24139768,7738286,9686778,12572641,7909961,7517465,7965342,16246213,12374303,11987667,15387436,9330888
072--Cocoa,1934154,2511713,734549,230537,653330,487731,3823522,12630068,13373622,14572905,40707943,32488939,17123834,11117112,9308828
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,16628358,15944566,28977970,34902876,26409394,13373789,15021829,10924968,10377378,10487909,10875767,12082738,13002348,7903121,9075789
411--Animal Oils And Fats,13153685,25093681,14875019,11288809,9272498,11302842,17432431,10110256,11216388,9533310,9647834,10087403,9061038,3193599,9068210
059--Fruit/Vegetable Juices; Unfermented,5305765,4072991,3061653,4076774,4041767,6283347,10486751,15514400,14443646,12002623,11274486,12835786,11412115,10129341,9031124
062--Sugar Confectionery,3169565,1114163,2733446,1396575,1793767,2252636,2929323,6692920,4262906,5877072,8229512,5861563,8241040,7919968,8983376
431--Animal/Vegetable Fats/Oils Preparations,8128811,23062534,15267579,7681039,7626146,12594250,16511151,10626708,8030671,5213176,4481202,3337153,4047921,4620615,8460506
763--Sound Recorders and TV Recorders,56367540,100925536,130761305,197391879,223811689,193135343,133907792,122695494,124757547,67952351,60269138,36528561,17156645,11947808,7714501
246--Wood In Chips Or Particles And Wood Waste,1601541,2843130,141061,3429521,1163113,4880889,861639,5601199,656885,2854931,2524448,4927715,4775783,1048627,7182058
812--Sanitary; Plumbing & Heating Fixtures,3975181,6061857,5456133,5070589,7757138,9600367,10739166,9497198,9792137,20268495,12820744,13611727,14651292,6689648,7012712
268--Wool & Other Animal Hair,3096432,9259845,6605277,8297362,17612458,22362398,16523455,12615889,12958880,7819593,10528863,10213229,7255152,11184815,7001777
001--Live Animals,13914885,17343544,2808870,16315176,16738874,19948873,41663913,34794014,36202211,53728742,72567704,82313197,48572061,10244385,6860686
245--Fuel Wood & Wood Charcoal,34640,32829,165504,30551,73856,114551,93455,66367,1546500,250782,9750,17586000,13479158,24201836,6735400
843--Men's Or Boys' Coats; Jackets; Knitted,661859,374356,916271,1254951,243368,815437,2215589,1021675,661594,1328183,3190774,2576269,3574407,7250832,6337304
652--Cotton Fabrics; Woven,6545348,4780314,7137347,7674073,5889240,5908804,4084655,3261362,4313987,4191807,4093898,4393317,6412020,4469754,6130542
841--Men's Or Boy's Coats; Jackets Etc; Not Knit,433701,512025,3385140,1316655,1222072,1436159,2404661,3043254,2523832,4664041,6918967,5093900,6682355,5301759,5843117
074--Tea And Mate,233912,462888,931255,845740,1549910,2491137,2551827,1818108,1879557,2068815,3694912,5183018,7084711,5486108,5580974
277--Natural Abrasives (Inc Industrial Diamonds),496497,824584,1563316,1747490,2054334,2489357,2845738,1497263,3711976,3808962,3422300,4854140,8867421,8779343,5217663
344--Petroleum Gases & Other Gaseous Hydrocarbons,827299,543179,2564044,444246,342540,167508,3051089,16391784,25323359,12864478,22226945,6638338,2524867,582300,4602999
712--Steam Turbines & Other Vapor Turbines,11878934,6793635,91957791,98940205,38486686,19577536,24507281,44507409,12417547,26342275,13850822,15436649,18776772,18528716,4417821
612--Manufactures Of Leather,1497835,1808495,1846750,1932546,2122898,3409889,3600622,2031074,2011165,3297253,3401490,4126029,4413785,4686796,3946828
811--Prefabricated Buildings,5834565,3525483,2300196,3530978,1570354,1476819,8308229,3591475,9365774,10216425,8978091,5757907,5037021,5545053,3748024
035--Fish; Dried; Smoked Fish,4743299,5656060,7067767,9500803,11060964,7574680,9094808,9373523,1534003,3727812,4993496,6814858,3695202,3712628,3468722
661--Lime; Cement & Fabricated Construction Materials,11566777,12525008,18512093,18655343,12158042,8290539,6862201,2574342,5139397,3530292,3204847,3561549,3644190,5048899,3316012
532--Dyeing & Tanning Extracts,4201558,5000866,7387042,7124985,6440421,7318271,7225204,6608543,10794191,7331431,7339939,7498425,7523828,5461257,3126224
272--Fertilizer; Crude,0,0,0,0,0,0,1498115,1483674,2357481,3185143,1084470,1757715,1566231,3197665,2266724
666--Pottery,1069374,986568,10377971,5513025,2024901,3131433,3114513,1286318,1045530,953907,2431197,2375507,3364678,3626769,2023084
075--Spices,180951,332812,660976,986367,1615058,2822728,1244161,871397,784352,1655596,1493566,1353781,1276256,1417980,1461976
023--Butter And Other Fats And Oils,0,11445,16088,30953,177817,401680,872343,824005,1217086,1749030,960591,4507539,7565144,202992,1418222
269--Worn Clothing & Other Worn Textile Articles,472155,466190,515829,762226,319314,746071,883073,2640635,1622492,3073500,3007663,1103897,1465462,994209,1227396
231--Natural Rubber In Primary Form,3647365,27749176,821031,1809785,1634077,2409711,1640072,2036444,7402896,4691836,733986,819839,1775554,1795685,1188159
613--Furskins; Tanned Or Dressed,777005,946739,3598318,525830,628724,980125,425984,511824,218430,350012,459449,2682289,429472,1118555,843714
322--Briquettes; Lignite And Peat,15703,0,2807,0,27917,66220,35980,179001,383099,202297,729884,406646,683870,304672,817012
687--Tin,2934835,3579218,1302236,1703609,3541439,699467,514707,413981,925096,370263,788186,227553,282073,981922,784212
685--Lead,1258276,698885,2622911,3230808,1396191,398596,674712,491854,2568799,300249,421987,963834,131304,330566,577117
677--Iron & Steel Rails & Railway Track Const Material,708388,1415633,1240742,1888812,716206,319429,203706,2114408,532302,798392,1172368,2294548,751649,1868842,539669
783--Road Motor Vehicles,544753,14933747,618146,1089060,1671914,13455662,1303530,1854707,3975836,2111768,1179356,846747,402175,91193,533705
345--Coal Gas; Water Gas and Producer Gas,5885,12750,2916,0,0,0,0,0,0,0,9806,0,0,0,525000
633--Cork Manufactures,1088698,1212192,677805,609125,1922767,2915743,3162101,3263479,3622433,2617007,1483944,3103740,1536019,818771,519231
025--Birds' Eggs & Yolks; Fresh; Dried or Preserved,424591,831969,1025985,1821381,1351285,2505983,2947796,3110634,2423086,2049397,647560,1676326,1030118,289559,436796
046--Meal And Flour Of Wheat And Meslin,140082,213872,62010,294816,178182,375336,803192,824920,13155,38271,22153,419600,264089,581187,417224
891--Arms And Ammunition,359434,190561,5523768,1524535,835157,1385116,490172,716579,920379,1166915,752376,1854685,965635,1592503,346244
122--Tobacco; Manufacturing,113660,1904113,3985239,3805509,2878140,2350644,1966861,1111071,63633,15346,2756064,2793451,1170734,1491763,316968
883--Cinema Film; Including Sound Track,88755,1238302,52133,665743,410793,797968,640909,386664,163814,400487,464610,314298,662884,217000,251860
042--Rice,813523,78701,95597,111277,70586,86778,3596774,661010,6028434,309344,224368,246110,250461,19189,168308
261--Silk Textile Fibers,416680,622538,577816,693119,91099,82111,7942,0,15987,0,38254,146068,38060,222900,111900
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,797691,132094,366924,279059,662369,1067298,1518809,571240,116833,258905,100109,81440,95773,25994,105300
016--Meat & Edible Offal; Salted; Dried; or Smoked,82171,162863,8025479,9476557,9763577,10885967,10538706,3746598,14302962,12614961,14355517,19546398,4406689,0,59616
047--Cereal Meals And Flours,634975,229241,161617,124879,182701,160059,985459,33866,494384,148823,586528,885874,17588986,1707333,54165
244--Cork; Natural; Raw & Waste,176596,52985,63386,28188,82937,75676,73715,55665,467700,51622,26516,45350,53917,87513,18985
950--Coin Including Gold,281239,222077,85925,1335567,65500,426024,660838,434718,103706,140650,79686,73384,44645,60730,14160
961--Coin (Other Than Gold Coin),0,729890,106000,0,2610,382080,437969,0,31600,3000,7363,11895,15424,151718,5827
325--Coke and Semicoke Of Coal,117040,7200,2337570,3615479,8907832,15069193,137676,842968,5290462,63950,0,0,18427,37646,4600
265--Vegetable Textile Fibers,155372,144169,76681,65912,671765,27565,25706,104313,124930,30514,15733,16191,6366,106673,2851
992--EXPORTS NOT OVER $10;000(TO 3/98) $20;000(4/98)NIK,12321716,8589977,7020090,3991286,2128917,1149775,875060,0,0,0,0,0,0,0,0
286--Ores & Concentrates Of Uranium Or Thorium,0,0,0,29400,0,0,4154,9318,0,0,0,0,0,0,0
264--Jute Textile Fibers,36361,0,0,55620,0,0,95200,277410,0,150377,226343,34713,4371,0,0
043--Barley; Unmilled,0,3150,0,4639,0,55572,0,0,0,0,25300,0,0,0,0
011--Meat Of Bovine Animals,14358390,8859929,28307,82921,88560,629669,657903,378559,941686,0,0,0,120951,2892,0
